PT,HLT,HLGT,SOC_ABBREV
Korsakoff's syndrome,Amnestic disorders,Dementia and amnestic conditions,Psych
Wernicke's encephalopathy,Encephalopathies toxic and metabolic,Encephalopathies,Nerv
Ascending flaccid paralysis,Paralysis and paresis (excl cranial nerve),Movement disorders (incl parkinsonism),Nerv
Subdural haematoma evacuation,Skull and brain therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surg
Subglottic laryngitis,Upper respiratory tract infections,Infections - pathogen unspecified,Infec
Blastic plasmacytoid dendritic cell neoplasia,Lymphomas unspecified NEC,Lymphomas NEC,Neopl
Central nervous system leukaemia,Leukaemias NEC,Leukaemias,Neopl
Acantholysis,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Febrile bone marrow aplasia,Marrow depression and hypoplastic anaemias,Anaemias nonhaemolytic and marrow depression,Blood
Infestation,Ectoparasitic infestations,Ectoparasitic disorders,Infec
Anaphylaxis treatment,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Stenotrophomonas test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Inv
Chronic graft versus host disease in lung,Immune and associated conditions NEC,Immune disorders NEC,Immun
Thrombin time prolonged,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Inv
Pancreatolithiasis,Pancreatic disorders NEC,Exocrine pancreas conditions,Gastr
Joint dislocation postoperative,Musculoskeletal procedural complications,Procedural related injuries and complications NEC,Inj&P
Surgical procedure repeated,Non-site specific procedural complications,Procedural related injuries and complications NEC,Inj&P
Immobilisation prolonged,Disability issues,Lifestyle issues,SocCi
Cardiac pacemaker replacement,Cardiac device therapeutic procedures,Cardiac therapeutic procedures,Surg
Blood creatine abnormal,Renal function analyses,Renal and urinary tract investigations and urinalyses,Inv
Platelet aggregation decreased,Platelet analyses,Haematology investigations (incl blood groups),Inv
Post procedural stroke,Neurological and psychiatric procedural complications,Procedural related injuries and complications NEC,Inj&P
Vascular shunt,Peripheral vascular disorders NEC,Vascular disorders NEC,Vasc
Blood thrombin increased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Inv
Pulmonary contusion,Chest and respiratory tract injuries NEC,Injuries NEC,Inj&P
Cardio-respiratory distress,Heart failures NEC,Heart failures,Card
Incision site swelling,Non-site specific procedural complications,Procedural related injuries and complications NEC,Inj&P
Anticoagulation drug level abnormal,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Inv
Hepatobiliary disease,Hepatic and hepatobiliary disorders NEC,Hepatic and hepatobiliary disorders,Hepat
Cerebral ventricular rupture,Structural brain disorders NEC,Structural brain disorders,Nerv
Oesophageal compression,Oesophageal stenosis and obstruction,Gastrointestinal stenosis and obstruction,Gastr
Rectal ulcer haemorrhage,Anal and rectal ulcers and perforation,Gastrointestinal ulceration and perforation,Gastr
Femoral hernia incarcerated,Femoral hernias,Abdominal hernias and other abdominal wall conditions,Gastr
Anorectal haemangioma,Lower gastrointestinal neoplasms benign,Gastrointestinal neoplasms benign,Neopl
Shunt blood flow excessive,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,Inj&P
Sarcoma excision,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Adenovirus test positive,Virus identification and serology,Microbiology and serology investigations,Inv
Transient acantholytic dermatosis,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin
Fibrosarcoma metastatic,Fibrosarcomas malignant,Soft tissue neoplasms malignant and unspecified,Neopl
Chorioretinal folds,"Choroid and vitreous structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye
Retinal white dots syndrome,Retinopathies NEC,"Retina, choroid and vitreous haemorrhages and vascular disorders",Eye
Budd-Chiari syndrome,Hepatic vascular disorders,Hepatic and hepatobiliary disorders,Hepat
Leiomyosarcoma metastatic,Leiomyosarcomas,Soft tissue neoplasms malignant and unspecified,Neopl
Thyroid gland abscess,Infections NEC,Infections - pathogen unspecified,Infec
Myocardiac abscess,Cardiac infections,Infections - pathogen unspecified,Infec
Ewing's sarcoma recurrent,Bone sarcomas,Skeletal neoplasms malignant and unspecified,Neopl
Alcohol induced persisting dementia,Dementia (excl Alzheimer's type),Mental impairment disorders,Nerv
Cellulitis gangrenous,Bacterial infections NEC,Bacterial infectious disorders,Infec
Anti factor X antibody positive,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Inv
Coagulation factor X level increased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Inv
Coagulation factor increased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Inv
Administration site haematoma,Administration site reactions NEC,Administration site reactions,Genrl
Protein C decreased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Inv
Protein S decreased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Inv
Eczema impetiginous,Bacterial infections NEC,Bacterial infectious disorders,Infec
Device allergy,Allergic conditions NEC,Allergic conditions,Immun
Hamartoma,Congenital disorders NEC,Congenital and hereditary disorders NEC,Cong
Biliary cirrhosis,Hepatic fibrosis and cirrhosis,Hepatic and hepatobiliary disorders,Hepat
Congenital labia pudendi adhesions,Female reproductive tract disorders congenital,Reproductive tract and breast disorders congenital,Cong
Blood glucagon increased,"Gastrointestinal, pancreatic and APUD hormone analyses",Endocrine investigations (incl sex hormones),Inv
Benign laryngeal neoplasm,Pharyngeal and laryngeal neoplasms benign,Respiratory and mediastinal neoplasms benign (excl mesotheliomas),Neopl
Amimia,Cortical dysfunction NEC,Neurological disorders NEC,Nerv
Diabetic dyslipidaemia,Diabetic complications NEC,Diabetic complications,Metab
Congenital gastric anomaly,Gastric disorders congenital,Gastrointestinal tract disorders congenital,Cong
Monogenic diabetes,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metab
Koilonychia,Nail and nail bed conditions (excl infections and infestations),Skin appendage conditions,Skin
Labia enlarged,Vulvovaginal signs and symptoms,Vulvovaginal disorders (excl infections and inflammations),Repro
Vulva cyst,Vulvovaginal cysts and neoplasms,Vulvovaginal disorders (excl infections and inflammations),Repro
Microembolism,Non-site specific embolism and thrombosis,Embolism and thrombosis,Vasc
Cervix haemorrhage uterine,Cervix disorders NEC,Cervix disorders (excl infections and inflammations),Repro
Uterine cervix ulcer,Cervix disorders NEC,Cervix disorders (excl infections and inflammations),Repro
Limb amputation,Limb therapeutic procedures,Bone and joint therapeutic procedures,Surg
Acquired phimosis,Penile disorders NEC (excl erection and ejaculation),Penile and scrotal disorders (excl infections and inflammations),Repro
Genital infection female,Female reproductive tract infections,Infections - pathogen unspecified,Infec
Nail toxicity,Nail and nail bed conditions (excl infections and infestations),Skin appendage conditions,Skin
Fungal cystitis,Fungal infections NEC,Fungal infectious disorders,Infec
Creatinine urine abnormal,Renal function analyses,Renal and urinary tract investigations and urinalyses,Inv
Prealbumin decreased,Protein analyses NEC,Protein and chemistry analyses NEC,Inv
Vulvovaginal disorder,Vulvovaginal disorders NEC,Vulvovaginal disorders (excl infections and inflammations),Repro
Psychogenic blindness,Somatic symptom disorders,Somatic symptom and related disorders,Psych
Low carbohydrate diet,Dietary and nutritional therapies,Therapeutic procedures and supportive care NEC,Surg
Genital cyst,Reproductive tract neoplasms NEC,Reproductive tract disorders NEC,Repro
Sulphaemoglobinaemia,Haematological disorders,Haematological disorders NEC,Blood
Blood methaemoglobin,Haem metabolism analyses,"Metabolic, nutritional and blood gas investigations",Inv
Normal tension glaucoma,Glaucomas (excl congenital),Glaucoma and ocular hypertension,Eye
Conjunctival scar,Eye injuries NEC,Injuries NEC,Inj&P
Blood methaemoglobin present,Haem metabolism analyses,"Metabolic, nutritional and blood gas investigations",Inv
Methaemoglobinuria,Urinary abnormalities,Urinary tract signs and symptoms,Renal
Glycosylated haemoglobin,Carbohydrate tolerance analyses (incl diabetes),"Metabolic, nutritional and blood gas investigations",Inv
Diabetic eye disease,Ocular disorders NEC,Eye disorders NEC,Eye
Oxygen saturation,Blood gas and acid base analyses,"Metabolic, nutritional and blood gas investigations",Inv
VEXAS syndrome,Gene mutations and other alterations NEC,"Chromosomal abnormalities, gene alterations and gene variants",Cong
Cerebrospinal fluid reservoir placement,Cerebrospinal fluid therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surg
Meningitis enterococcal,Enterococcal infections,Bacterial infectious disorders,Infec
Ventricular drainage,Cerebrospinal fluid therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surg
Continuous haemodiafiltration,Renal therapeutic procedures,Renal and urinary tract therapeutic procedures,Surg
Cardiac pacemaker removal,Cardiac device therapeutic procedures,Cardiac therapeutic procedures,Surg
Splenic embolism,Spleen disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Blood
Eosinophilic pneumonia acute,Lower respiratory tract inflammatory and immunologic conditions,Lower respiratory tract disorders (excl obstruction and infection),Resp
Crossmatch incompatible,Blood grouping and cross-matching analyses,Haematology investigations (incl blood groups),Inv
Blood immunoglobulin M,Immunoglobulin analyses,Immunology and allergy investigations,Inv
Lymphocyte transformation test,White blood cell analyses,Haematology investigations (incl blood groups),Inv
Axillary nerve injury,Peripheral nerve injuries,Injuries NEC,Inj&P
Infusion site warmth,Infusion site reactions,Administration site reactions,Genrl
Anti-erythropoietin antibody positive,Haematological analyses NEC,Haematology investigations (incl blood groups),Inv
Arteriovenous fistula site complication,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,Inj&P
Thymic cancer metastatic,Mediastinal neoplasms malignant,Respiratory and mediastinal neoplasms malignant and unspecified,Neopl
Hepatoblastoma,Hepatoblastomas,Hepatobiliary neoplasms malignant and unspecified,Neopl
Dialysis related complication,Dialysis related complications,Procedural related injuries and complications NEC,Inj&P
Arteriovenous fistula operation,Vascular therapeutic procedures NEC,Vascular therapeutic procedures,Surg
Occupational physical problem,Occupational environmental problems,Environmental issues,SocCi
Organ transplant,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Pancreas transplant,Pancreatic therapeutic procedures,Gastrointestinal therapeutic procedures,Surg
Cardiac assistance device user,Disability issues,Lifestyle issues,SocCi
Hernia perforation,Hernias NEC,General system disorders NEC,Genrl
Reticulocyte count abnormal,Red blood cell analyses,Haematology investigations (incl blood groups),Inv
Sodium retention,Sodium imbalance,Electrolyte and fluid balance conditions,Metab
Perineal operation,Soft tissue therapeutic procedures NEC,Soft tissue therapeutic procedures,Surg
Vulval operation,External female genital therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surg
Performance enhancing product use,Intentional product use issues,Off label uses and intentional product misuses/use issues,Inj&P
Congenital heart valve disorder,Cardiac valve disorders congenital,Cardiac and vascular disorders congenital,Cong
Congenital pulmonary valve disorder,Cardiac valve disorders congenital,Cardiac and vascular disorders congenital,Cong
Maternal drugs affecting foetus,Foetal and neonatal conditions associated with product exposure,"Exposures, chemical injuries and poisoning",Inj&P
Pulmonary valve sclerosis,Pulmonary valvular disorders,Cardiac valve disorders,Card
Cloacal exstrophy,Reproductive tract disorders congenital NEC,Reproductive tract and breast disorders congenital,Cong
Congenital genital malformation,Reproductive tract disorders congenital NEC,Reproductive tract and breast disorders congenital,Cong
Musculoskeletal deformity,Extremity deformities,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musc
Tethered cord syndrome,Spinal cord and nerve root disorders NEC,Spinal cord and nerve root disorders,Nerv
Antiviral drug level below therapeutic,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Inv
Immune reconstitution inflammatory syndrome associated tuberculosis,Tuberculous infections,Mycobacterial infectious disorders,Infec
Neonatal aspiration,Newborn respiratory disorders NEC,Neonatal respiratory disorders,Resp
Hepatitis C RNA increased,Virus identification and serology,Microbiology and serology investigations,Inv
Body fat disorder,Lipid metabolism and deposit disorders NEC,Lipid metabolism disorders,Metab
Myelocytosis,Leukocytoses NEC,White blood cell disorders,Blood
Allogenic stem cell transplantation,Blood and blood product treatment,Haematological and lymphoid tissue therapeutic procedures,Surg
Chylothorax,Pneumothorax and pleural effusions NEC,Pleural disorders,Resp
Bone neoplasm,Bone neoplasms unspecified malignancy,Skeletal neoplasms malignant and unspecified,Neopl
Central nervous system neoplasm,Nervous system neoplasms unspecified malignancy NEC,Nervous system neoplasms malignant and unspecified NEC,Neopl
Loss of CAR T-cell persistence,Site specific procedural complications NEC,Procedural related injuries and complications NEC,Inj&P
Polymerase chain reaction,Investigations NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Full blood count normal,Blood counts NEC,Haematology investigations (incl blood groups),Inv
Polymerase chain reaction positive,Investigations NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Pulmonary function test,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Murphy's sign positive,Physical examination procedures and organ system status,Physical examination and organ system status topics,Inv
Ultrasound abdomen abnormal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Inv
Isocitrate dehydrogenase gene mutation,Gene mutations and other alterations NEC,"Chromosomal abnormalities, gene alterations and gene variants",Cong
TP53 gene mutation,Gene mutations and other alterations NEC,"Chromosomal abnormalities, gene alterations and gene variants",Cong
Yersinia bacteraemia,Yersinia infections,Bacterial infectious disorders,Infec
Double heterozygous sickling disorders,Haemoglobinopathies congenital,Blood and lymphatic system disorders congenital,Cong
Foetal haemoglobin increased,Red blood cell analyses,Haematology investigations (incl blood groups),Inv
Stool pH decreased,Faecal analyses NEC,Gastrointestinal investigations,Inv
Urine electrolytes decreased,Water and electrolyte analyses NEC,"Water, electrolyte and mineral investigations",Inv
Tuberculosis of eye,Tuberculous infections,Mycobacterial infectious disorders,Infec
Zinc deficiency,Zinc disorders,Iron and trace metal metabolism disorders,Metab
Lymphoid hyperplasia of intestine,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastr
Synovial fluid protein present,Musculoskeletal and soft tissue tests NEC,Musculoskeletal and soft tissue investigations (excl enzyme tests),Inv
Cardiac iron overload,Cardiomyopathies,Myocardial disorders,Card
Oral mucosa atrophy,Oral soft tissue disorders NEC,Oral soft tissue conditions,Gastr
Epidermolysis bullosa,Skin and subcutaneous tissue disorders congenital NEC,Skin and subcutaneous tissue disorders congenital,Cong
Rapid correction of hyponatraemia,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Colonic haematoma,Intestinal haemorrhages,Gastrointestinal haemorrhages NEC,Gastr
Low turnover osteopathy,Metabolic bone disorders,Bone disorders (excl congenital and fractures),Musc
Acute phase reaction,Inflammations,General system disorders NEC,Genrl
Mycobacterium test positive,Mycobacteria identification and serology,Microbiology and serology investigations,Inv
Periostitis,Bone disorders NEC,Bone disorders (excl congenital and fractures),Musc
Nasal abscess,Upper respiratory tract infections,Infections - pathogen unspecified,Infec
Pelvic sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infec
Ilium fracture,Pelvic fractures and dislocations,Bone and joint injuries,Inj&P
Vessel puncture site pain,Administration site reactions NEC,Administration site reactions,Genrl
Tongue atrophy,Tongue disorders,Tongue conditions,Gastr
Fistula discharge,Soft tissue disorders NEC,Musculoskeletal and connective tissue disorders NEC,Musc
Osteogenesis imperfecta,Non-site specific bone disorders congenital,Musculoskeletal and connective tissue disorders congenital,Cong
Endarterectomy,Arterial therapeutic procedures (excl aortic),Vascular therapeutic procedures,Surg
Urethral caruncle,Urethral disorders NEC,Urethral disorders (excl calculi),Renal
Dental prosthesis placement,Dental and gingival therapeutic procedures,Head and neck therapeutic procedures,Surg
Pulmonary calcification,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),Resp
Dental fistula,Dental and oral soft tissue infections,Infections - pathogen unspecified,Infec
Septic arthritis streptococcal,Streptococcal infections,Bacterial infectious disorders,Infec
Nodular rash,"Rashes, eruptions and exanthems NEC",Epidermal and dermal conditions,Skin
Exostosis of jaw,Bone disorders NEC,Bone disorders (excl congenital and fractures),Musc
Rib deformity,Trunk deformities,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musc
Biopsy breast,Reproductive organ and breast histopathology procedures,Reproductive organ and breast investigations (excl hormone analyses),Inv
Metastases to gastrointestinal tract,Metastases to specified sites,Metastases,Neopl
Metastases to retroperitoneum,Metastases to specified sites,Metastases,Neopl
Neurofibrosarcoma,Neurofibrosarcomas,Soft tissue neoplasms malignant and unspecified,Neopl
Cardiac output increased,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Inv
Lens discolouration,Cataract conditions,"Anterior eye structural change, deposit and degeneration",Eye
Dental implantation,Dental and gingival therapeutic procedures,Head and neck therapeutic procedures,Surg
Actinomyces test positive,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Inv
Autoimmune uveitis,"Iris and uveal tract infections, irritations and inflammations","Ocular infections, irritations and inflammations",Eye
Apicectomy,Dental and gingival therapeutic procedures,Head and neck therapeutic procedures,Surg
Blood parathyroid hormone,Parathyroid analyses,Endocrine investigations (incl sex hormones),Inv
Morton's neuralgia,Sensory abnormalities NEC,Neurological disorders NEC,Nerv
Anal cancer metastatic,Anal canal neoplasms malignant,Gastrointestinal neoplasms malignant and unspecified,Neopl
Laparoscopy,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Inv
High turnover osteopathy,Metabolic bone disorders,Bone disorders (excl congenital and fractures),Musc
Urine calcium increased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Ossicle disorder,Middle ear disorders NEC,Middle ear disorders (excl congenital),Ear
Infusion site cellulitis,Bacterial infections NEC,Bacterial infectious disorders,Infec
Spinal X-ray abnormal,Musculoskeletal and soft tissue imaging procedures,Musculoskeletal and soft tissue investigations (excl enzyme tests),Inv
Unwanted awareness during anaesthesia,Anaesthetic and allied procedural complications,Procedural related injuries and complications NEC,Inj&P
Light anaesthesia,Anaesthesia and allied procedures,Therapeutic procedures and supportive care NEC,Surg
Hypertensive cardiomegaly,Cardiac hypertensive complications,"Cardiac disorders, signs and symptoms NEC",Card
Antinuclear antibody,Autoimmunity analyses,Immunology and allergy investigations,Inv
Device pacing issue,Device malfunction events NEC,Device issues,Prod
Central venous pressure decreased,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Inv
Childhood depression,Depressive disorders,Depressed mood disorders and disturbances,Psych
Separation anxiety disorder,Anxiety disorders NEC,Anxiety disorders and symptoms,Psych
Chorioretinopathy,"Choroid and vitreous structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye
Product with quality issue administered,Product administration errors and issues,Medication errors and other product use errors and issues,Inj&P
Menometrorrhagia,Menstruation with increased bleeding,Menstrual cycle and uterine bleeding disorders,Repro
Abortion spontaneous incomplete,Abortions spontaneous,Abortions and stillbirth,Preg
Implant site inflammation,Implant and catheter site reactions,Administration site reactions,Genrl
Contact lens intolerance,Ocular sensation disorders,Ocular sensory symptoms NEC,Eye
Inadequate lubrication,Vulvovaginal signs and symptoms,Vulvovaginal disorders (excl infections and inflammations),Repro
Ovarian abscess,Female reproductive tract infections,Infections - pathogen unspecified,Infec
Obsessive rumination,Obsessive-compulsive disorders and symptoms,Anxiety disorders and symptoms,Psych
Vaginal cyst,Vulvovaginal cysts and neoplasms,Vulvovaginal disorders (excl infections and inflammations),Repro
New daily persistent headache,Headaches NEC,Headaches,Nerv
Adnexal torsion,Ovarian and fallopian tube disorders NEC,Ovarian and fallopian tube disorders,Repro
Ovarian necrosis,Ovarian and fallopian tube disorders NEC,Ovarian and fallopian tube disorders,Repro
Decidual cast,Maternal complications of pregnancy NEC,Maternal complications of pregnancy,Preg
Progesterone increased,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Inv
Autoimmune dermatitis,Dermatitis and eczema,Epidermal and dermal conditions,Skin
Diastema,Dental disorders NEC,Dental and gingival conditions,Gastr
Ovulation pain,Menstruation and uterine bleeding NEC,Menstrual cycle and uterine bleeding disorders,Repro
Device expulsion,Device issues NEC,Device issues,Prod
Menstruation normal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Inv
Brachiocephalic artery occlusion,Site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vasc
Brain stem embolism,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nerv
Nipple enlargement,Breast disorders NEC,Breast disorders,Repro
Pregnancy test,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Inv
Galactocele,Lactation disorders,Breast disorders,Repro
Post abortion haemorrhage,Abortion related conditions and complications,Abortions and stillbirth,Preg
Poor milk ejection reflex,Lactation disorders,Breast disorders,Repro
Product design confusion,Product confusion errors and issues,Medication errors and other product use errors and issues,Inj&P
Oil acne,Acnes,Skin appendage conditions,Skin
Oral mucosal scar,Abdominal and gastrointestinal injuries NEC,Injuries NEC,Inj&P
Phyllodes tumour,Breast neoplasms unspecified malignancy,Breast neoplasms malignant and unspecified (incl nipple),Neopl
Drug rechallenge positive,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),Genrl
Breast fibroma,Breast and nipple neoplasms benign,Breast neoplasms benign (incl nipple),Neopl
Increased need for sleep,Sleep disturbances NEC,Sleep disturbances (incl subtypes),Nerv
Vaginal stricture,Vulvovaginal disorders NEC,Vulvovaginal disorders (excl infections and inflammations),Repro
Acne infantile,Acnes,Skin appendage conditions,Skin
Lens extraction,Lens therapeutic procedures,Eye therapeutic procedures,Surg
Implantation complication,Non-site specific procedural complications,Procedural related injuries and complications NEC,Inj&P
Giant papillary conjunctivitis,"Conjunctival infections, irritations and inflammations","Ocular infections, irritations and inflammations",Eye
Procedural intestinal perforation,Gastrointestinal and hepatobiliary procedural complications,Procedural related injuries and complications NEC,Inj&P
Posterior capsule rupture,Eye and ear procedural complications,Procedural related injuries and complications NEC,Inj&P
Candidiasis of trachea,Candida infections,Fungal infectious disorders,Infec
Illogical thinking,Thinking disturbances,Disturbances in thinking and perception,Psych
Influenza A virus test,Virus identification and serology,Microbiology and serology investigations,Inv
Corneal thinning,"Corneal structural change, deposit and degeneration","Anterior eye structural change, deposit and degeneration",Eye
Cellulitis enterococcal,Enterococcal infections,Bacterial infectious disorders,Infec
Salivary duct obstruction,Salivary gland stenosis and obstruction,Salivary gland conditions,Gastr
Corneal endothelial cell loss,Corneal disorders NEC,Eye disorders NEC,Eye
Vitreous loss,"Choroid and vitreous structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye
Brain empyema,Central nervous system and spinal infections,Infections - pathogen unspecified,Infec
Pseudophakic bullous keratopathy,Eye and ear procedural complications,Procedural related injuries and complications NEC,Inj&P
"Brief psychotic disorder, with postpartum onset",Brief psychotic disorder,Schizophrenia and other psychotic disorders,Psych
Lobular breast carcinoma in situ,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),Neopl
Loss of visual contrast sensitivity,Visual disorders NEC,Vision disorders,Eye
Child-Pugh-Turcotte score abnormal,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
Uveitis-glaucoma-hyphaema syndrome,Eye and ear procedural complications,Procedural related injuries and complications NEC,Inj&P
Persistent corneal epithelial defect,Eye injuries NEC,Injuries NEC,Inj&P
Histiocytic sarcoma,Histiocytoses,Haematopoietic neoplasms (excl leukaemias and lymphomas),Neopl
Cutaneous nocardiosis,Nocardia infections,Bacterial infectious disorders,Infec
Conjunctival erosion,"Conjunctival structural change, deposit and degeneration","Anterior eye structural change, deposit and degeneration",Eye
17-hydroxyprogesterone increased,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Inv
Blood corticotrophin increased,Pituitary analyses anterior,Endocrine investigations (incl sex hormones),Inv
Central nervous system fungal infection,Fungal infections NEC,Fungal infectious disorders,Infec
Epidermolysis,Bullous conditions,Epidermal and dermal conditions,Skin
West Nile viral infection,Flaviviral infections,Viral infectious disorders,Infec
Cerebral nocardiosis,Nocardia infections,Bacterial infectious disorders,Infec
Pulmonary nocardiosis,Nocardia infections,Bacterial infectious disorders,Infec
Fibrin deposition on lens postoperative,Eye and ear procedural complications,Procedural related injuries and complications NEC,Inj&P
Conjunctival laceration,Eye injuries NEC,Injuries NEC,Inj&P
Blood gonadotrophin decreased,Pituitary analyses anterior,Endocrine investigations (incl sex hormones),Inv
Oestradiol decreased,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Inv
Drug effect faster than expected,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),Genrl
Nasogastric output high,Gastrointestinal function diagnostic procedures,Gastrointestinal investigations,Inv
Breast injury,Reproductive system and breast injuries,Injuries NEC,Inj&P
External fixation of fracture,Fracture treatments (excl skull and spine),Bone and joint therapeutic procedures,Surg
Microsleep,Sleep disturbances NEC,Sleep disturbances (incl subtypes),Nerv
Postmature baby,Gestational age and weight conditions,Neonatal and perinatal conditions,Preg
Precipitate labour,Labour onset and length abnormalities,Maternal complications of labour and delivery,Preg
Resistance to thyroid hormone,Thyroid disorders congenital,Endocrine disorders congenital,Cong
Septic pulmonary embolism,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infec
Lymphangiectasia,Lymphangiopathies,Lymphatic vessel disorders,Vasc
Epidermal naevus,Skin and subcutaneous tissue disorders congenital NEC,Skin and subcutaneous tissue disorders congenital,Cong
Laryngeal inflammation,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Blindness congenital,Ocular disorders congenital NEC,Eye disorders congenital,Cong
Haemorrhagic urticaria,Urticarias,Angioedema and urticaria,Skin
Eyelid myoclonus,Eyelid movement disorders,Ocular neuromuscular disorders,Eye
Gastrointestinal gangrene,Bacterial infections NEC,Bacterial infectious disorders,Infec
Jejunal perforation,Intestinal ulcers and perforation NEC,Gastrointestinal ulceration and perforation,Gastr
Blood cholinesterase increased,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
Haptoglobin decreased,Haem metabolism analyses,"Metabolic, nutritional and blood gas investigations",Inv
Yolk sac tumour site unspecified,Germ cell neoplasms site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Stress ulcer,"Gastrointestinal ulcers and perforation, site unspecified",Gastrointestinal ulceration and perforation,Gastr
Large intestinal ulcer haemorrhage,Intestinal ulcers and perforation NEC,Gastrointestinal ulceration and perforation,Gastr
Ecthyma,Skin structures and soft tissue infections,Infections - pathogen unspecified,Infec
Injection site anaesthesia,Injection site reactions,Administration site reactions,Genrl
Hypoaldosteronism,Adrenal cortical hypofunctions,Adrenal gland disorders,Endo
Benign small intestinal neoplasm,Gastrointestinal neoplasms benign NEC,Gastrointestinal neoplasms benign,Neopl
Oesophagogastroscopy abnormal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Inv
Small intestinal ulcer perforation,Intestinal ulcers and perforation NEC,Gastrointestinal ulceration and perforation,Gastr
Endoscopy abnormal,Imaging procedures NEC,"Investigations, imaging and histopathology procedures NEC",Inv
Incisional drainage,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surg
Peritoneal lavage,Abdominal therapeutic procedures NEC,Gastrointestinal therapeutic procedures,Surg
Vasopressin challenge test normal,Renal function analyses,Renal and urinary tract investigations and urinalyses,Inv
pH body fluid decreased,Blood gas and acid base analyses,"Metabolic, nutritional and blood gas investigations",Inv
Acid-base balance disorder mixed,Mixed acid-base disorders,Acid-base disorders,Metab
Ductus arteriosus premature closure,Arterial disorders congenital,Cardiac and vascular disorders congenital,Cong
Toxic neuropathy,Peripheral neuropathies NEC,Peripheral neuropathies,Nerv
Pseudodementia,Dementia NEC,Dementia and amnestic conditions,Psych
Vascular resistance systemic decreased,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Inv
