DDPD-ID,Drug-Name,SMILES,Molecular Weight (g/mol),C-Max Value (ng/ml),C-Max Unit,C-Max Raw Value,C-Max Annotation,C-Max (nM)
DDPD00669,Sumatriptan,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,295.4,12.9,ng/ml,12.9(10.5-15.9),"inhalation, IH;",43.67
DDPD00669,Sumatriptan,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,295.4,22.9,ng/ml,22.9(18.4-28.6),Rectal Administration;,77.52
DDPD00669,Sumatriptan,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,295.4,54.0,ng/ml,54(27-137),"Oral single dose; adults; normal,healthy;",182.80
DDPD00669,Sumatriptan,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,295.4,72.0,ng/ml,72(55-108),"adults; normal,healthy;",243.74
DDPD00671,Cefixime,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC(O)=O)\C1=CSC(N)=N1)C(O)=O,453.45,2300.0,ng/ml,1.7-2.9,"Capsule, PO, Oral; adults; normal,healthy;",5072.22
DDPD00673,Aprepitant,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,534.4267,1600.0,ng/ml,1.6,Oral single dose;,2993.86
DDPD00674,Galantamine,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3,287.3535,96.0,ng/ml,96±29,"PO, oral; Elderly; normal,healthy;",334.08
DDPD00675,Tamoxifen,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,371.5146,40.0,ng/ml,40.0,"PO, oral;",107.67
DDPD00675,Tamoxifen,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,371.5146,15.0,ng/ml,15.0,"PO, oral; Active metabolite;",40.38
DDPD00675,Tamoxifen,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,371.5146,120.0,ng/ml,120(67-183),"PO, oral;",323.00
DDPD00678,Losartan,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,422.911,225.0,ng/ml,200-250,"PO, oral;",532.03
DDPD00678,Losartan,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,422.911,296.0,ng/ml,296±217,"Male, men; normal,healthy;",699.91
DDPD00678,Losartan,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,422.911,249.0,ng/ml,249±74,"Active metabolite; Male, men; normal,healthy;",588.78
DDPD00681,Amphotericin B,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,924.079,1200.0,ng/ml,1.2±0.33,"intravenous infusion, IV in drop;",1298.59
DDPD00681,Amphotericin B,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,924.079,1700.0,ng/ml,1.7±0.8,"intravenous infusion, IV in drop; Drug form;",1839.67
DDPD00681,Amphotericin B,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,924.079,83000.0,ng/ml,83±35,"intravenous infusion, IV in drop; Drug form;",89819.16
DDPD00682,Warfarin,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,308.3279,900.0,ng/ml,0.9±0.4,"PO, oral; Optical rotation R; patients;",2918.97
DDPD00682,Warfarin,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,308.3279,500.0,ng/ml,0.5±0.2,"PO, oral; Optical rotation S; patients;",1621.65
DDPD00683,Midazolam,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,325.767,90.0,ng/ml,90.0,"IM,intramuscular injection;",276.27
DDPD00683,Midazolam,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,325.767,78.0,ng/ml,78±27,Oral single dose;,239.43
DDPD00683,Midazolam,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,325.767,113.0,ng/ml,113±16,,346.87
DDPD00687,Fludrocortisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,380.4504,0.1006,ng/ml,0.0012-0.2,"PO, oral;",0.26
DDPD00688,Mycophenolate mofetil,COC1=C(C\C=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C,433.4947,24500.0,ng/ml,24.5±9.5,Oral single dose;,56517.42
DDPD00688,Mycophenolate mofetil,COC1=C(C\C=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C,433.4947,24100.0,ng/ml,24.1±12.1,"PO, oral; renal transplant;",55594.68
DDPD00695,Furosemide,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,330.744,1700.0,ng/ml,1.7±0.9,"Male, men; adults; normal,healthy;",5139.93
DDPD00698,Nitrofurantoin,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,238.159,919.0,ng/ml,0.875-0.963,,3858.77
DDPD00698,Nitrofurantoin,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,238.159,428.0,ng/ml,428±146,"fasting; adults; normal,healthy;",1797.12
DDPD00700,Eplerenone,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC,414.4914,1000.0,ng/ml,1.0±0.3,"PO, oral;",2412.60
DDPD00706,Tamsulosin,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,408.512,4.2,ng/ml,3.1-5.3,"PO, oral;",10.28
DDPD00706,Tamsulosin,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,408.512,3.05,ng/ml,2.5-3.6,"PO, oral;",7.47
DDPD00706,Tamsulosin,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,408.512,16.0,ng/ml,16±5,"Oral single dose; extended release formulation; normal,healthy;",39.17
DDPD00708,Sufentanil,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,386.551,0.075,ng/ml,0.05-0.1,epidural administration;,0.19
DDPD00709,Lamivudine,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,229.256,1500.0,ng/ml,1.5±0.5,"PO, oral; AIDS,HIV;",6542.90
DDPD00709,Lamivudine,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,229.256,1000.0,ng/ml,1.0(0.86-1.2),"Male, men; normal,healthy;",4361.94
DDPD00710,Ibandronate,CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,319.2289,4.1,ng/ml,4.1±2.6,"PO, oral; normal,healthy; Male, men;",12.84
DDPD00715,Paroxetine,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,329.3654,42.817502,ng/ml,~130,"PO, oral; extensive metabolizers, EM;",130.00
DDPD00715,Paroxetine,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,329.3654,72.460388,ng/ml,~220,"PO, oral; poor metabolizers, PM;",220.00
DDPD00717,Norethisterone,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],298.4192,6.375,ng/ml,5.39-7.36,Oral single dose;,21.36
DDPD00717,Norethisterone,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],298.4192,0.8385,ng/ml,617-1060,skin/dermal;,2.81
DDPD00718,Adefovir dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C,501.4705,18.4,ng/ml,18.4±6.26,"Oral single dose; Hepatitis, Hep; food;",36.69
DDPD00720,Clodronic acid,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,244.892,16100.0,ng/ml,16.1,"intravenous injection, IV;",65743.27
DDPD00720,Clodronic acid,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,244.892,12800.0,ng/ml,12.8,"IM,intramuscular injection;",52267.94
DDPD00721,Procaine,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,236.3101,58.0,ng/ml,58.0,"PO, oral; food;",245.44
DDPD00722,Lisinopril,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,405.4879,50.0,ng/ml,50(6.4-343),"PO, oral; adults; hypertension; RD, renal impairment, Renal disease，including uremia;",123.31
DDPD00722,Lisinopril,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,405.4879,608231.85,ng/ml,1-2,Oral single dose; immediate release formulation;,1500000.00
DDPD00722,Lisinopril,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,405.4879,385213.505,ng/ml,0.7-1.2,extended release formulation;,950000.00
DDPD00727,Nitroglycerin,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,227.0865,2.56,ng/ml,2.56,sublingual;,11.27
DDPD00727,Nitroglycerin,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,227.0865,2.1,ng/ml,2.1,sublingual;,9.25
DDPD00727,Nitroglycerin,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,227.0865,1.9,ng/ml,1.9±1.6,sublingual;,8.37
DDPD00727,Nitroglycerin,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,227.0865,3.4,ng/ml,3.4±1.7,"intravenous injection, IV;",14.97
DDPD00728,Rocuronium,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1,529.7742,1100.0,ng/ml,0.8-1.4,"intravenous injection, IV;",2076.36
DDPD00734,Risperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,410.4845,10.0,ng/ml,10.0,"PO, oral; schizophrenia;",24.36
DDPD00734,Risperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,410.4845,45.0,ng/ml,45.0,"PO, oral; Active metabolite; schizophrenia;",109.63
DDPD00736,Esomeprazole,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,345.416,1554372.0,ng/ml,4.5(3.8-5.7),"PO, oral; normal,healthy;",4500000.00
DDPD00736,Esomeprazole,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,345.416,234882.88,ng/ml,0.68±0.43,"PO, oral; normal,healthy; extensive metabolizers, EM;",680000.00
DDPD00736,Esomeprazole,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,345.416,1208956.0,ng/ml,3.5±1.4,"PO, oral; normal,healthy; poor metabolizers, PM;",3500000.00
DDPD00740,Riluzole,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,234.198,173.0,ng/ml,173±72,"PO, oral;",738.69
DDPD00741,Hydrocortisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,362.4599,11.848814131,ng/ml,32.69,"PO, oral;",32.69
DDPD00741,Hydrocortisone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,362.4599,25.665785519,ng/ml,70.81,"PO, oral;",70.81
DDPD00758,Clopidogrel,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,321.822,2.01,ng/ml,2.01±2.0,"PO, oral;",6.25
DDPD00758,Clopidogrel,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,321.822,31.3,ng/ml,31.3±13,"PO, oral; poor metabolizers, PM;",97.26
DDPD00758,Clopidogrel,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,321.822,60.8,ng/ml,60.8±34.3,"PO, oral; high-fat meal;",188.92
DDPD00759,Tetracycline,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,444.4346,2300.0,ng/ml,2.3±0.2,"PO, oral; fasting;",5175.11
DDPD00759,Tetracycline,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,444.4346,16400.0,ng/ml,16.4±1.2,"intravenous injection, IV;",36900.82
DDPD00762,Irinotecan,CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12,586.678,1660.0,ng/ml,1660.0,tumor;,2829.49
DDPD00762,Irinotecan,CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12,586.678,3392.0,ng/ml,3392.0,tumor;,5781.71
DDPD00762,Irinotecan,CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12,586.678,1700.0,ng/ml,1.7±0.8,"intravenous infusion, IV in drop; solid tumors;",2897.67
DDPD00762,Irinotecan,CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12,586.678,26.0,ng/ml,26±12,"intravenous infusion, IV in drop; Active metabolite; solid tumors;",44.32
DDPD00766,Clavulanic acid,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO,199.1608,2098.0,ng/ml,2.098±0.441,"PO, oral;",10534.20
DDPD00768,Olopatadine,CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2,337.4122,1.6,ng/ml,1.6±0.9,"ophthalmic administration; normal,healthy;",4.74
DDPD00768,Olopatadine,CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2,337.4122,6.0,ng/ml,6.0±8.99,"inhalation, IH; normal,healthy;",17.78
DDPD00768,Olopatadine,CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2,337.4122,23.3,ng/ml,23.3±6.2,"inhalation, IH; allergic rhinitis;",69.06
DDPD00773,Etoposide,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O,588.5566,2700.0,ng/ml,2.7,"intravenous infusion, IV in drop;",4587.49
DDPD00773,Etoposide,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O,588.5566,4700.0,ng/ml,4.7,"intravenous infusion, IV in drop; hematological toxicity;",7985.64
DDPD00776,Oxcarbazepine,NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2,252.268,34.0,ng/ml,34.0,Oral single dose;,134.78
DDPD00776,Oxcarbazepine,NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2,252.268,8500.0,ng/ml,8.5±2.0,"PO, oral;",33694.33
DDPD00780,Phenelzine,NNCCC1=CC=CC=C1,136.1943,19.8,ng/ml,19.8,"PO, oral;",145.38
DDPD00783,Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,272.382,0.174,ng/ml,174.0,Transdermal preparations;,0.64
DDPD00783,Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,272.382,0.054,ng/ml,54.0,skin/dermal;,0.20
DDPD00783,Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,272.382,0.063,ng/ml,63.0,Vaginal Administration;,0.23
DDPD00783,Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,272.382,0.0128,ng/ml,12.8±16.6,Vaginal Administration;,0.05
DDPD00787,Acyclovir,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,225.2046,625.1,ng/ml,593.7-656.5,,2775.70
DDPD00787,Acyclovir,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,225.2046,1002160.47,ng/ml,3.5-5.4,Oral multiple dose;,4450000.00
DDPD00788,Naproxen,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,230.2592,95700.0,ng/ml,94-97.4,"PO, oral; Rectal Administration;",415618.57
DDPD00788,Naproxen,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,230.2592,37.0,null,37.0,"Tablet, PO, oral; immediate release formulation; adults;",160.69
DDPD00788,Naproxen,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,230.2592,94.0,null,94.0,"Tablet, PO, oral; extended release formulation; adults;",408.24
DDPD00788,Naproxen,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,230.2592,55000.0,ng/ml,55±14,Liquid; Children; patients;,238861.25
DDPD00794,Primidone,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,218.2518,2700.0,ng/ml,2.7±0.4,Oral single dose;,12371.03
DDPD00798,Gentamicin,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,477.5954,5000.0,ng/ml,5.0±0.4,"intravenous injection, IV; adults; normal,healthy;",10469.11
DDPD00798,Gentamicin,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,477.5954,4900.0,ng/ml,4.9±0.5,"intravenous infusion, IV in drop; adults; normal,healthy;",10259.73
DDPD00802,Alfentanil,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,416.5172,150.0,ng/ml,100-200,,360.13
DDPD00802,Alfentanil,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,416.5172,325.0,ng/ml,310-340,,780.28
DDPD00808,Indapamide,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,365.835,363.0,ng/ml,363.0,"PO, oral;",992.25
DDPD00811,Ribavirin,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,244.2047,3687490.97,ng/ml,15.1±12.8,"PO, oral; adults; HCV-positive;",15100000.00
DDPD00811,Ribavirin,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,244.2047,2710672.17,ng/ml,11.1±1.2,"Capsule, PO, Oral; adults; AIDS,HIV;",11100000.00
DDPD00813,Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,336.4705,0.4,ng/ml,0.4±0.1,"Tablet, PO, oral;",1.19
DDPD00813,Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,336.4705,0.2,ng/ml,0.20±0.06,sublingual;,0.59
DDPD00813,Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,336.4705,1.61,ng/ml,1.61±0.60,sublingual; increasing doses;,4.78
DDPD00813,Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,336.4705,0.24,ng/ml,0.24±0.20,Transdermal preparations;,0.71
DDPD00813,Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,336.4705,0.815,ng/ml,815±301,nasal spray;,2.42
DDPD00813,Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,336.4705,0.815,ng/ml,815±301,,2.42
DDPD00813,Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,336.4705,0.8,ng/ml,0.8±0.3,buccal;,2.38
DDPD00813,Fentanyl,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,336.4705,1.4,ng/ml,1.4±0.5,Transdermal preparations;,4.16
DDPD00814,Meloxicam,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,351.401,1900.0,ng/ml,1.9±0.6,"Capsule, PO, Oral;",5406.93
DDPD00818,Propofol,CC(C)C1=CC=CC(C(C)C)=C1O,178.2707,3500.0,ng/ml,3.5±0.06,"intravenous injection, IV;",19633.06
DDPD00818,Propofol,CC(C)C1=CC=CC(C(C)C)=C1O,178.2707,1100.0,ng/ml,1.1±0.4,"PO, oral; patients;",6170.39
DDPD00820,Tadalafil,[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1,389.404,378.0,ng/ml,378.0,Oral single dose;,970.71
DDPD00829,Diazepam,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,284.74,317.0,ng/ml,317±27,"Oral single dose; adults; normal,healthy;",1113.30
DDPD00829,Diazepam,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,284.74,400.0,ng/ml,~400,"Rectal Administration; adults; normal,healthy;",1404.79
DDPD00829,Diazepam,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,284.74,450.0,ng/ml,400-500,"adults; normal,healthy;",1580.39
DDPD00842,Oxazepam,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,286.713,450000000.0,ng/ml,450.0,"PO, oral;",1569513764.64
DDPD00843,Donepezil,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,379.492,8.34,ng/ml,8.34,"Tablet, PO, oral;",21.98
DDPD00843,Donepezil,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,379.492,30.8,ng/ml,30.8±4.2,"PO, oral;",81.16
DDPD00845,Clofazimine,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,473.396,410.0,ng/ml,0.41,"PO, oral; food;",866.08
DDPD00852,Pseudoephedrine,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,165.2322,246.3,null,246.3±10.5,"PO, oral;",1490.63
DDPD00852,Pseudoephedrine,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,165.2322,246.3,ng/ml,246.3±10.5,"PO, oral; food;",1490.63
DDPD00852,Pseudoephedrine,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,165.2322,272.5,ng/ml,272.5±13.4,"PO, oral; fasting;",1649.19
DDPD00852,Pseudoephedrine,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,165.2322,268.5,ng/ml,177-360,Oral single dose; immediate release formulation;,1624.99
DDPD00852,Pseudoephedrine,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1,165.2322,289.5,ng/ml,265-314,Oral single dose; extended release formulation;,1752.08
DDPD00857,Terbinafine,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,291.4299,1000.0,ng/ml,1.0,,3431.36
DDPD00857,Terbinafine,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,291.4299,999.0,ng/cm2,949-1049,skin/dermal;,3427.93
DDPD00860,Prednisolone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,360.444,728.0,ng/ml,113-1343,"PO, oral;",2019.73
DDPD00860,Prednisolone,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,360.444,458.0,ng/ml,458±150,"PO, oral; Male, men; adults; normal,healthy;",1270.66
DDPD00863,Ranitidine,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,314.4,462.0,ng/ml,462±54,"Oral single dose; adults; normal,healthy;",1469.47
DDPD00864,Tacrolimus,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,804.0182,31.2,ng/ml,31.2±10.1,"Oral single dose; adults; normal,healthy;",38.81
DDPD00868,Benzonatate,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,603.7419,1063.0,ng/ml,1063±460,"PO, oral;",1760.69
